Question,Node_Betweenness
LSAS_1,0.0008689738992769294
LSAS_2,0.0776760351507827
LSAS_3,0.0011067944401277736
LSAS_4,0.0011928811928811928
LSAS_5,0.06494216408357828
LSAS_7,0.0021010134646498287
LSAS_8,0.0018952278548238146
LSAS_9,0.001531911784437037
LSAS_10,0.0007258790592123925
LSAS_11,0.07054921135729221
LSAS_12,0.06507519977216952
LSAS_14,0.005233971042051851
LSAS_16,0.0012055023166134278
LSAS_17,0.00186998186998187
LSAS_18,0.0012055023166134278
LSAS_19,0.0969525713717632
LSAS_20,0.0012055023166134278
LSAS_22,0.0033577505547202516
LSAS_23,0.0014112879264394417
LSAS_24,0.0006242831242831243
LSAS_6,0.00024099357432690765
LSAS_15,0.0005240746907413574
LSAS_21,8.698092031425364e-05
CFS_2,0.03764189514189517
CFS_3,0.5212682379349046
CFS_10,0.0051627384960718295
LSAS_13,0.0
CFS_1,0.00016835016835016836
CFS_4,0.0
CFS_6,0.01245791245791247
CFS_7,0.01245791245791247
CFS_9,0.00016835016835016836
CFS_12,0.2268237934904602
CFS_5,0.0
BDI_2,0.15071067821067818
BDI_3,0.15071067821067818
BDI_6,0.06599326599326599
BDI_13,0.15071067821067818
CFS_8,0.01122334455667789
CFS_11,0.0
BDI_7,0.02186668270001603
BDI_1,0.0
BDI_4,0.0003178611511944845
BDI_5,0.0001318742985409652
BDI_8,0.0003178611511944845
BDI_9,0.0001318742985409652
BDI_10,0.00018598685265351934
BDI_11,0.0003178611511944845
BDI_12,0.0003178611511944845
BDI_14,0.0003178611511944845
BDI_16,0.0003178611511944845
BDI_17,0.0003178611511944845
BDI_18,0.0003178611511944845
BDI_19,0.0003178611511944845
BDI_15,4.208754208754209e-05
BDI_20,8.978675645342312e-05
