"Node","Bridge_Strength","Bridge_Betweenness"
"BDI_1",0.11116074529968,23
"BDI_2",0.108128968805223,72
"BDI_3",0.119754903067551,143
"BDI_4",0.0763325671817586,55
"BDI_5",0.0516608054859074,21
"BDI_6",0.075753246824197,12
"BDI_7",0.121814174198743,50
"BDI_8",0.0310412951171112,3
"BDI_9",0,11
"BDI_10",0.0942717219849422,14
"BDI_11",0.00109537184015457,24
"BDI_12",0.0959701569254009,103
"BDI_13",0.0940375566613998,98
"BDI_14",0.0220529541486822,43
"BDI_15",0.0266901473600993,25
"BDI_16",0.00975327065251101,0
"BDI_17",0.0773920760179185,11
"BDI_18",0.131469511247071,149
"BDI_19",0.0754102763744565,187
"BDI_20",0.021109071956772,0
"CFS_1",0.129210317844321,24
"CFS_2_R",0.320623279264816,96
"CFS_3_R",0.291298070812664,179
"CFS_4",0.110937250869844,0
"CFS_5_R",0.176566898356704,125
"CFS_6",0.137072239538109,19
"CFS_7",0.0938689366282787,22
"CFS_8",0.056780240834331,30
"CFS_9",0.0746616511484226,3
"CFS_10_R",0.111598158284445,8
"CFS_11",0.0755974561166676,2
"CFS_12",0.463584789591947,193
"LSAS_1",0.0541893354362539,0
"LSAS_2",0.103321541397141,36
"LSAS_3",0.0365068948209313,13
"LSAS_4",0.102314582893167,37
"LSAS_5",0.111257660247603,16
"LSAS_6",0.00545569622376404,21
"LSAS_7",0.0156606416904592,93
"LSAS_8",0.0656142335931899,74
"LSAS_9",0.0726307318534384,33
"LSAS_10",0.131800753645656,37
"LSAS_11",0.0787112372517925,16
"LSAS_12",0.0379764161457274,19
"LSAS_13",0.0463960081687057,8
"LSAS_14",0.0240832925680188,5
"LSAS_15",0.166622869695449,98
"LSAS_16",0.151714554600599,38
"LSAS_17",0.14159208966644,12
"LSAS_18",0.0910993792088513,9
"LSAS_19",0.0861951404687922,0
"LSAS_20",0.0285106815556782,18
"LSAS_21",0.101343626779618,176
"LSAS_22",0.0821547489111226,80
"LSAS_23",0.164919263669339,174
"LSAS_24",0.0406810258878006,8
