"Node","Bridge_Strength","Bridge_Betweenness"
"BDI_1",0.152767385790429,45
"BDI_2",0.131039625412597,6
"BDI_3",0.150082214046001,31
"BDI_4",0.0300440625766135,52
"BDI_5",0.125308422869196,28
"BDI_6",0.122462409879682,58
"BDI_7",0.0986944692083689,75
"BDI_8",0.0709740119313686,4
"BDI_9",0,0
"BDI_10",0.0763372555804013,51
"BDI_11",0.0585937382475884,30
"BDI_12",0.170049041996345,66
"BDI_13",0.198360180052181,75
"BDI_14",0.00734376930076671,16
"BDI_15",0.0302408108526796,18
"BDI_16",0.0702240241916834,10
"BDI_17",0.00736460397513309,22
"BDI_18",0.0520450754021768,41
"BDI_19",0.0614311670782236,87
"BDI_20",0.0254352859069843,0
"CFS_1",0.139589629772103,104
"CFS_2_R",0.482708644502526,200
"CFS_3_R",0.366145109136941,93
"CFS_4",0.0505582153934224,7
"CFS_5_R",0.109634574275899,48
"CFS_6",0.0531164563078267,20
"CFS_7",0.0767325872113092,103
"CFS_8",0.000633236736767888,0
"CFS_9",0.00788071909783425,0
"CFS_10_R",0.282682867680855,79
"CFS_11",0.0707250283155667,10
"CFS_12",0.286643993636838,264
"LSAS_1",0.0623797915267231,24
"LSAS_2",0.192884963120221,38
"LSAS_3",0.0656858815351339,31
"LSAS_4",0.0232395558682838,0
"LSAS_5",0.0160792460364001,0
"LSAS_6",0.00239132525363133,5
"LSAS_7",0.118693381364988,26
"LSAS_8",0.0780763159731216,14
"LSAS_9",0.0323728501754633,46
"LSAS_10",0.0528731214617646,30
"LSAS_11",0.0652698416799616,56
"LSAS_12",0.0678067330187536,0
"LSAS_13",0.0157417186148295,21
"LSAS_14",0.107033046928896,51
"LSAS_15",0.133933332425085,24
"LSAS_16",0.151420917410457,97
"LSAS_17",0.160727836007596,139
"LSAS_18",0.130111218267663,79
"LSAS_19",0.10424161504053,3
"LSAS_20",0.0128151284292499,29
"LSAS_21",0.130442422055003,3
"LSAS_22",0.0606433514244088,48
"LSAS_23",0.040864138292615,9
"LSAS_24",0.0122753992148983,14
