"node","measure","value"
"BDI_1","Strength",0.838100642338412
"BDI_2","Strength",-0.317831328306445
"BDI_3","Strength",1.38253633429647
"BDI_4","Strength",1.10198962916823
"BDI_5","Strength",-0.609921146776049
"BDI_6","Strength",-0.927676072315545
"BDI_7","Strength",1.14142887229034
"BDI_8","Strength",0.444098457258646
"BDI_9","Strength",-1.47623329384923
"BDI_10","Strength",-0.519264269128451
"BDI_11","Strength",1.30285289181787
"BDI_12","Strength",0.335350838961202
"BDI_13","Strength",2.09825962408973
"BDI_14","Strength",-0.347437046718596
"BDI_15","Strength",-0.240276134162959
"BDI_16","Strength",-0.523557725446513
"BDI_17","Strength",-1.15063839078086
"BDI_18","Strength",0.848678268945579
"BDI_19","Strength",0.486967097296051
"BDI_20","Strength",-1.9098147798974
"CFS_1","Strength",-0.221667681958492
"CFS_2","Strength",-0.519334081490534
"CFS_3","Strength",0.467800206804995
"CFS_4","Strength",-1.32384862830302
"CFS_5","Strength",-0.684865581746357
"CFS_6","Strength",0.14907386916217
"CFS_7","Strength",-0.265211518579728
"CFS_8","Strength",-1.1554071494547
"CFS_9","Strength",-1.97046893537571
"CFS_10","Strength",0.708384255289595
"CFS_11","Strength",-0.137906225369121
"CFS_12","Strength",1.31096765960265
"LSAS_1","Strength",-0.942599200195318
"LSAS_2","Strength",0.402647402551923
"LSAS_3","Strength",-0.0385363697972478
"LSAS_4","Strength",-0.916061234802844
"LSAS_5","Strength",-0.122833124526632
"LSAS_6","Strength",-0.414635088972732
"LSAS_7","Strength",0.746131908406167
"LSAS_8","Strength",1.13443547656144
"LSAS_9","Strength",0.373240081627425
"LSAS_10","Strength",0.496248741539045
"LSAS_11","Strength",1.89169620074779
"LSAS_12","Strength",1.5758543568483
"LSAS_13","Strength",-2.4450102197195
"LSAS_14","Strength",-0.378830648302425
"LSAS_15","Strength",0.58331432759168
"LSAS_16","Strength",1.08648082679292
"LSAS_17","Strength",-1.15644722488745
"LSAS_18","Strength",0.900893110413164
"LSAS_19","Strength",-0.340075161134225
"LSAS_20","Strength",0.952733393423663
"LSAS_21","Strength",-0.725146170851048
"LSAS_22","Strength",-0.0346967430909976
"LSAS_23","Strength",0.172155866060461
"LSAS_24","Strength",-1.11608916394579
